"feature"	"S1"	"S2"	"S3"	"S4"	"S5"	"S6"	"S7"	"S8"	"S9"	"S10"	"S11"	"S12"	"S13"	"S14"
"K00001"	192.678391053391	214.183333333333	152.888888888889	194.250252525253	167.384523809524	329.685317460317	123.295562770563	134.177777777778	162.44126984127	237.625	247.067171717172	211.619841269841	282.383712121212	158.99126984127
"K00002"	0	0	0	0	1	1.5	1	0	1.5	0	0	0	0	0
"K00003"	2125.32175324675	2390.14783549784	1742.52465728716	1882.5968975469	1959.58427128427	1779.42256493506	1440.74452861953	2511.30084776335	2249.97025613276	2889.96172438672	2606.77474747475	2441.00137085137	1190.36044372294	1334.23098845599
"K00004"	109.268145743146	216.942297979798	100.124242424242	158.718939393939	171.330952380952	352.471031746032	130.006613756614	100.279942279942	126.277723665224	259.463888888889	165.557702020202	208.236111111111	53.9378787878788	143.240079365079
"K00005"	30.2130952380952	54.8553571428571	20.9777777777778	26.3541666666667	31.6115079365079	36.5376984126984	27.2125	39.3289682539683	40.3464646464646	47.1916666666667	37.1263888888889	22.3265873015873	17.5833333333333	36.3178571428571
"K00007"	147.344444444444	531.383333333333	102.6	214.083333333333	73.5404761904762	52.227380952381	106.677777777778	185.34126984127	158.198412698413	399.814682539683	172.538888888889	120.294841269841	49.3416666666667	133.491666666667
"K00008"	1973.55075757576	712.060227272727	1636.61805555556	1338.44027777778	2069.86666666667	1410.17222222222	1107.96334175084	543.126226551227	870.08060966811	826.561111111111	2307.97411616162	2379.29722222222	1088.07954545455	465.923809523809
"K00009"	56.4246753246753	100.19816017316	43.8270202020202	83.7823593073593	13.5261904761905	19.6126984126984	33.9810365560366	80.922601010101	103.924314574315	126.471536796537	54.1393939393939	10.1428571428571	23.6438311688312	57.3857142857143
"K00010"	1495.93232323232	2352.53313492063	1003.87083333333	1126.8970959596	1102.79484126984	1012.92896825397	830.186117123617	4283.24563492063	2948.23667027417	2647.43412698413	1594.20795454545	1292.94563492063	605.400360750361	1247.65079365079
"K00011"	0	0	0	0.1	0	0.2	0	0.4	0.2	0	0	0	0	0.2
"K00012"	2859.4288961039	3001.47164502165	2202.38017676768	2725.44332611833	2933.46919191919	2866.05669191919	1958.1728956229	2643.894498557	2613.47822871573	3540.28037518037	3714.82878787879	3456.7601010101	1773.7906024531	1435.77027417027
"K00013"	2169.21958874459	2390.00407647908	1769.16783910534	1965.32045454545	2059.22554112554	1991.03526334776	1521.34315776816	2436.58870851371	2228.45283189033	2887.06756854257	2740.4398989899	2565.47954545455	1199.22949134199	1161.03455988456
"K00014"	2007.10541125541	3448.81266233766	1810.89044011544	2314.86363636364	1731.02373737374	2236.85270562771	1667.06967291967	2947.7536976912	2773.0161976912	3832.09613997114	2453.76868686869	2231.39653679654	1170.84136002886	1780.3604978355
"K00015"	224.813131313131	187.586111111111	199.411111111111	263.489393939394	219.30873015873	297.711111111111	309.185533910534	49.9333333333333	165.372222222222	228.775	276.967676767677	215.458333333333	247.031313131313	93.9055555555556
"K00016"	156.659018759019	175.646031746032	121.665909090909	183.457106782107	136.154365079365	149.319047619048	76.2481000481	87.0732503607504	185.097041847042	286.275793650794	254.617424242424	178.194444444444	126.585497835498	81.3126984126984
"K00018"	352.076659451659	934.957936507936	146.436652236652	262.743650793651	110.515223665224	136.593001443001	201.403318903319	1984.92633477633	1213.65645743146	1063.40714285714	378.740909090909	225.468037518038	95.1455808080808	529.806385281385
"K00019"	1007.91475468975	2195.62775974026	836.049783549784	1158.68739177489	824.776731601732	1081.59399350649	837.472252284752	2320.26038961039	1930.3591991342	2322.07878787879	1229.51845238095	1017.45811688312	763.339592352092	1039.23297258297
"K00020"	3305.66284271284	3925.0761002886	2785.97743506493	2998.44083694084	3195.13391053391	3020.61962481962	1966.56776094276	3744.08299062049	3365.46605339105	4379.73621933622	4044.78901515152	3784.37770562771	1874.4354978355	2055.41046176046
"K00021"	99.1722222222222	154.5	117.822222222222	181.583333333333	34.6587301587302	61.1666666666667	131.888888888889	35.7222222222222	92.8888888888889	248.208333333333	150.758333333333	93.6805555555556	53.3720238095238	60.0833333333333
"K00023"	1012.42608225108	2650.77774170274	641.922168109668	935.024927849928	761.896572871573	1015.37316017316	613.762662337662	3974.62261904762	2729.73093434343	2702.75396825397	1202.34076479076	1042.46645021645	526.747348484848	1099.87741702742
"K00024"	2776.85490620491	2218.53513708514	2204.43374819625	2271.40151515152	2907.45847763348	2484.70986652237	1802.47901635402	2378.51017316017	2284.06823593074	2747.2402958153	3490.36944444444	3499.05375180375	1457.79237012987	1081.51551226551
"K00027"	1014.78564213564	469.544624819625	1136.70681818182	654.394769119769	980.639682539683	1026.32202380952	897.716426166426	227.976803751804	621.374025974026	736.005266955267	1072.84267676768	1106.84285714286	558.190800865801	295.435714285714
"K00029"	2674.83712121212	3276.86457431457	1893.71948051948	2249.25476190476	2664.56194083694	2373.17582972583	1479.78059163059	4060.9886002886	3187.50111832612	3718.05	3339.28308080808	3252.05808080808	1375.0422979798	1501.0632034632
"K00030"	871.472222222222	175.8	644.727777777778	640.741666666667	942.255555555556	646.675	489.916666666667	80.3555555555556	252.363888888889	325.891666666667	1144.53484848485	1104.85277777778	453.416666666667	131.816666666667
