"Pathway"	"S1"	"S2"	"S3"	"S4"	"S5"	"S6"	"S7"	"S8"	"S9"	"S10"	"S11"	"S12"	"S13"	"S14"
"ko00010"	73752.554004329	80671.4158008658	59837.9497474747	68826.3973845599	70202.3846681097	72295.7945887446	56460.2528439153	80475.2789321789	76672.0739357864	97989.7351731602	91955.0684343434	84634.0688311688	43659.5743145743	40848.3004329004
"ko00020"	58902.9832972583	60617.0112012987	47681.9772546898	53679.1428751804	57938.0989177489	57008.6935606061	44429.6151936027	59670.0343795094	57104.774512987	73822.9347402597	73967.8837121212	69711.0444805195	34206.7607142857	30308.4058802309
"ko00030"	55053.8341630592	60477.5162698413	44072.9383116883	51379.1326479076	53282.6657647908	53025.4679473304	39325.4041005291	58409.8993145743	55121.4161976912	72752.1812409812	68870.2909090909	64127.6015512266	31632.4926767677	30465.0437229437
"ko00040"	26020.2443001443	23809.0406565657	20962.719047619	26565.4147907648	28200.5182539683	25981.65	19070.1933621934	17514.7914862915	19542.5944083694	30046.1891414141	33766.8325757576	32924.5936507936	14939.9388708514	12541.5817460317
"ko00051"	41398.9924603175	36130.1371933622	33771.6704365079	37457.9936327561	42275.996969697	38406.130501443	29388.0467111592	31951.8581890332	34263.379004329	46518.4327922078	51635.0698051948	49532.0267676768	23226.7651695527	19785.0230519481
"ko00052"	28674.9962121212	35246.460479798	22838.5406385281	30200.6168831169	26796.3535714286	27177.843452381	21817.1258417508	32350.0773448773	30662.9885642136	42612.0937590188	37266.1579545455	32871.2813492064	16566.3645021645	17028.569047619
"ko00053"	14663.7768037518	21187.4458513709	11193.7536435786	13933.3713383838	13665.8774170274	14473.5831709957	10354.6150252525	21612.861038961	18541.1856601732	22885.8073953824	18018.0070707071	16207.3850649351	8560.37687590187	10152.263997114
"ko00061"	45707.2560606061	50694.9417748918	36033.899025974	43994.5618326118	46274.7423881674	47044.845959596	33766.0337782588	50387.0378427128	46936.1606782107	60834.6817460317	58610.2797979798	54647.2001082251	26382.3452741703	26372.6406565657
"ko00062"	30.3611111111111	11.7333333333333	25.7777777777778	20.8222222222222	16.3388888888889	19.9833333333333	14.2777777777778	6.36111111111111	37.2833333333333	34.9166666666667	51.5	36.375	6.16666666666667	5
"ko00071"	36282.8590548341	47697.0874098124	29514.0418650794	33866.0284992785	35043.5295454545	41510.4388708514	27865.3468374218	51402.5176767677	45766.4771464646	53857.8190836941	45471.7235930736	42192.8705627706	23616.4807720058	24050.0223665224
"ko00072"	14340.3199134199	19196.9081349206	11732.4640512266	13156.49745671	13944.1352453102	15431.6937770563	11163.0392195767	19069.6762626263	17517.5824494949	21541.4623737374	17427.650523088	16654.5084415584	9836.05268759019	9314.78351370851
"ko00073"	12.5833333333333	92.9583333333333	2.375	2.95833333333333	0.333333333333333	0.125	3.33333333333333	58.1666666666667	55.3333333333333	34.875	6.58333333333333	2.54166666666667	1.5	12.375
"ko00100"	254.331746031746	122.402525252525	220.411111111111	203.869624819625	312.389285714286	419.304563492063	183.565476190476	34.0397907647908	178.37619047619	238.539790764791	422.686616161616	311.238888888889	110.036688311688	61.8630952380952
"ko00120"	421.277056277056	675.853535353535	467.160858585859	607.926388888889	688.388636363636	1081.1553030303	373.723827561328	268.295075757576	527.102290764791	748.991666666667	625.683838383838	811.686688311688	343.064826839827	324.524242424242
"ko00121"	245.858333333333	376.225	262.7875	340.8	484.448412698413	811.667658730159	218.514357864358	166.36369047619	297.689484126984	406.108333333333	340.243181818182	465.020238095238	222.658333333333	212.17380952381
"ko00130"	25217.1417027417	26693.807521645	19966.8699134199	21598.4384559885	24968.4887445887	24238.1948953824	16784.3704665705	30332.6550505051	26653.5569444444	33424.7585137085	31221.3907828283	30369.9283910534	13237.2720598846	13671.5122655123
"ko00140"	1979.28232323232	1756.68371212121	1812.75833333333	2086.07664141414	2374.79880952381	2902.5255952381	1893.10441919192	512.856601731602	1398.48766233766	2183.90606060606	2517.0375	2773.68492063492	1535.5619047619	801.235714285714
"ko00190"	113499.512734488	122202.059307359	90449.7177669553	102584.031944444	111544.994480519	109193.154996392	77435.0452801828	125608.810894661	114660.791125541	147688.892207792	145377.859126984	138579.586652237	62397.2084415584	60524.565981241
"ko00195"	16766.2726551227	19986.9167027417	12871.0410714286	16768.396969697	17469.2223304473	19343.0856240981	12491.4922318422	19860.1589105339	18101.749549062	23799.7683261183	22401.5904040404	21418.3964646465	9678.27178932179	9744.27929292929
"ko00196"	0	0	0	0	8.5	0	0	0	0	0	0	21.25	0	0
"ko00220"	40133.507034632	41266.3613275613	32947.9163780664	35234.5156204906	38528.959018759	36912.2324314574	27421.6911255411	40542.4361652237	38594.7021284271	49554.346031746	49695.5910533911	46632.6848845599	22152.1014790765	21798.6218975469
"ko00230"	140050.739718615	161786.969101732	112848.592712843	125754.797113997	133573.884271284	130084.143398268	94707.9501443001	177968.393398268	156636.200342713	194518.828102453	174899.871626984	164527.354545455	74748.1926046176	81551.1135281385
"ko00232"	771.605303030303	342.752777777778	650.07196969697	733.294949494949	924.59696969697	666.134866522367	488.811111111111	145.287878787879	340.769696969697	454.380555555556	1001.59343434343	1071.70732323232	370.39816017316	213.609956709957
"ko00240"	103240.666702742	113442.672366522	82600.2336399711	90165.1020562771	98470.9256493507	93316.6988636364	68897.6648989899	130382.101479076	113010.626569264	138612.244660895	128026.052272727	121305.600613276	53826.3269119769	57439.6332972583
"ko00250"	63370.3424963925	65277.998989899	51237.0511002886	54183.8168470418	60913.9896825397	58315.510515873	42721.8461519961	68867.1155483405	63086.7061507937	79220.5646825397	78523.9718253968	73997.201984127	34996.2368145743	33304.2797619048
"ko00253"	706.5	127.6	588.616666666667	524.377777777778	878.486904761905	629.921031746032	569.672222222222	66.05	221.666666666667	201.661111111111	987.333333333333	982.95	328.833333333333	125.197619047619
"ko00260"	78704.5518759019	86873.7197510822	63047.595544733	72869.8117424242	75366.5661616162	73277.3242965368	55579.0917929293	90291.0184523809	82386.2523989899	103426.230844156	100067.141035354	91654.5142496393	43984.4922438672	45999.0076118326
