OTU,X16S_K0010A2.S1.L001,X16S_K0011C1.S2.L001,X16S_K0011C2.S3.L001,X16S_K0033C1.S4.L001,X16S_K0033C2.S5.L001,X16S_K0145B1.S6.L001,X16S_K0147C2.S7.L001,X16S_K0148A1.S8.L001,X16S_K0154C1.S9.L001,X16S_K0154C2.S10.L001,X16S_K0191C1.S11.L001,X16S_K0192B2.S12.L001,X16S_K0192C1.S13.L001,X16S_K0195C1.S14.L001
forward_16S_1,36.6,103.0,5.6,3.1,0.1,0.0,6.9,304.1,265.0,70.0,5.2,1.6,3.4,47.0
forward_16S_2,11.2,31.7,0.6,1.0,0.0,0.0,1.7,89.9,74.6,15.2,1.9,0.0,0.9,14.4
forward_16S_3,20.2,1.8,70.8,3.1,0.0,0.0,12.0,0.0,31.4,3.5,23.8,2.8,41.4,3.5
forward_16S_4,9.1,21.2,0.8,0.7,0.1,0.0,0.9,78.0,39.2,13.0,1.6,0.0,0.6,12.1
forward_16S_5,21.5,0.4,54.5,0.2,0.2,1.7,0.0,0.0,1.7,8.8,25.2,21.1,10.1,0.0
forward_16S_6,5.6,1.4,2.1,0.6,29.6,7.8,2.3,0.0,2.7,0.8,1.6,38.0,3.8,1.3
forward_16S_7,5.3,14.7,1.6,1.0,0.0,0.4,1.9,43.7,31.9,7.9,1.5,0.0,0.0,3.5
forward_16S_8,3.4,17.8,0.4,0.8,0.0,0.0,0.5,48.6,29.1,5.5,0.0,0.8,0.0,6.9
forward_16S_9,3.4,0.0,57.5,3.1,1.3,0.0,0.5,0.0,7.3,3.7,1.8,2.3,4.8,2.4
forward_16S_10,7.9,0.2,0.3,2.0,0.0,0.0,2.5,28.7,2.0,22.1,24.4,4.8,2.1,6.4
forward_16S_11,8.1,0.5,26.7,0.7,0.0,0.0,5.6,0.0,10.9,0.0,12.3,2.3,12.5,5.8
forward_16S_12,4.8,6.6,3.0,5.4,0.0,0.0,4.7,9.4,12.2,5.7,9.0,0.0,4.4,9.0
forward_16S_13,2.7,3.5,0.1,0.2,0.1,1.7,0.0,18.4,7.2,0.9,1.4,0.9,2.2,55.0
forward_16S_14,2.7,38.7,0.4,0.9,0.0,0.0,1.0,11.1,12.9,7.3,0.8,0.0,0.6,0.9
forward_16S_15,4.5,3.1,6.1,7.2,0.0,0.0,6.7,0.3,1.6,4.7,8.9,0.0,22.6,2.3
forward_16S_16,0.0,4.3,0.0,0.1,0.4,0.0,0.0,0.0,0.0,23.5,0.0,0.0,0.0,77.7
forward_16S_17,1.0,0.5,0.0,2.3,0.0,0.0,19.8,2.1,0.8,1.5,0.0,0.0,4.9,0.7
forward_16S_18,2.8,7.4,3.5,12.5,0.0,0.0,6.6,0.0,2.9,5.6,0.5,0.0,2.4,4.5
forward_16S_19,2.0,4.1,0.0,0.0,0.0,0.0,0.2,11.7,1.2,13.4,0.9,0.0,0.0,61.5
forward_16S_20,5.7,11.8,1.2,3.1,0.2,1.2,3.9,3.9,6.6,13.6,2.0,0.0,1.8,6.9
forward_16S_21,2.5,15.3,0.7,3.7,0.0,0.0,0.8,9.1,3.1,25.7,0.8,0.0,2.8,6.5
forward_16S_22,0.3,27.9,1.3,0.3,0.0,0.0,0.8,10.3,11.6,7.0,0.0,0.0,0.7,1.9
forward_16S_23,0.0,0.0,0.0,0.0,0.0,0.2,0.0,32.5,0.0,0.0,0.6,0.0,0.0,20.2
forward_16S_24,4.8,0.7,13.8,1.0,0.3,0.0,2.6,0.0,9.2,0.0,6.0,1.6,9.0,1.3
forward_16S_25,10.7,0.0,15.7,0.0,0.1,0.0,0.0,0.0,0.6,5.3,13.9,8.3,4.3,0.7
forward_16S_26,1.2,0.0,0.0,0.0,20.4,2.0,1.2,0.0,0.0,0.0,0.0,4.3,1.3,0.0
forward_16S_27,8.5,1.0,4.3,4.9,1.2,0.0,2.0,0.9,9.6,10.6,10.6,1.4,0.0,1.2
forward_16S_28,2.3,6.0,0.0,0.5,0.0,0.0,0.4,18.7,15.8,1.8,0.7,0.0,0.0,1.4
forward_16S_29,0.0,15.4,0.0,0.0,0.0,0.0,0.1,19.4,0.0,9.4,0.0,0.0,0.0,6.9
forward_16S_30,10.2,0.0,6.5,0.0,4.7,0.0,0.0,0.0,2.0,0.0,5.1,6.9,11.8,0.0
forward_16S_31,2.3,5.8,1.4,6.3,1.2,0.0,3.6,2.5,3.6,10.1,4.1,0.0,2.6,2.9
forward_16S_32,0.4,4.1,0.0,0.7,0.2,0.0,0.6,16.7,12.5,8.1,0.0,0.0,0.0,2.9
forward_16S_33,1.0,0.5,1.6,0.0,6.3,14.3,0.3,0.0,0.7,1.5,0.6,1.5,5.1,0.7
forward_16S_34,4.0,7.5,1.4,5.0,3.5,0.4,1.7,4.9,1.0,2.7,2.8,0.0,0.0,1.4
forward_16S_35,2.9,10.6,2.6,5.9,1.0,0.5,1.4,0.2,0.6,0.7,6.5,5.4,1.4,2.1
forward_16S_36,10.0,0.0,2.4,1.6,2.1,7.0,0.3,0.7,0.4,0.8,9.3,6.7,2.7,0.0
forward_16S_37,3.2,0.4,12.6,1.7,0.0,0.0,2.8,0.0,2.8,0.0,3.1,0.0,7.1,1.4
forward_16S_38,2.7,0.3,1.5,6.1,0.0,0.0,6.8,0.0,1.3,0.0,4.0,0.0,2.1,1.8
forward_16S_39,1.5,0.0,25.0,0.4,0.2,0.0,0.0,0.0,2.2,1.8,3.2,2.6,0.0,1.5
forward_16S_40,1.5,1.0,2.6,0.8,12.3,1.2,0.9,0.0,1.7,0.9,2.0,10.0,0.6,0.0
forward_16S_41,0.9,1.1,3.5,0.0,2.6,3.4,0.8,0.0,2.5,4.3,2.3,1.4,17.7,3.7
forward_16S_42,2.1,0.0,1.8,0.0,0.0,0.0,0.0,22.7,3.2,0.0,0.7,0.0,0.0,0.4
forward_16S_43,1.6,0.0,0.0,0.1,0.0,0.0,8.2,2.8,6.5,0.0,0.9,0.0,0.5,0.0
forward_16S_44,4.1,0.8,5.0,2.0,0.7,0.0,0.2,0.0,0.7,1.8,3.7,1.6,27.8,0.5
forward_16S_45,7.6,0.1,2.5,4.8,3.5,0.0,0.5,0.0,0.0,0.0,8.1,1.7,1.3,0.8
forward_16S_46,0.1,8.2,0.1,2.8,0.0,0.0,6.2,0.7,1.3,0.8,0.7,0.0,1.2,2.4
forward_16S_47,1.4,3.9,0.0,0.0,0.0,0.0,0.3,17.1,6.7,0.9,0.0,0.8,0.8,4.0
forward_16S_48,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,0.0
forward_16S_49,1.7,5.9,2.7,4.9,0.0,0.0,2.0,1.4,0.5,1.7,1.7,3.0,0.7,6.9
forward_16S_50,0.2,0.0,0.0,0.4,0.0,0.0,13.1,0.0,0.6,0.0,0.0,0.0,0.0,0.0
