phylum	class	order	family	genus	species	S18.K0010A2	S18.K0011C1	S18.K0011C2	S18.K0033C1	S18.K0033C2	S18.K0145B1	S18.K0147C2	S18.K0148A1	S18.K0154C1	S18.K0154C2	S18.K0191C1	S18.K0192B2	S18.K0192C1	S18.K0195C1
Firmicutes	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	unclassified	0	0.6	0	0	0	0	0.2	0	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	Sporosarcina sp. C10	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0
Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Terrimonas	Terrimonas sp. URHE0054	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas subvibrioides	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8
Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus humicus	0	0	0	0	0	0	0	1.4	0	0	0	0	0	0
Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Methylomonas sp. R-49799	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0
Actinobacteria	Thermoleophilia	Solirubrobacterales	Parviterribacteraceae	Parviterribacter	unclassified	0.4	0.5	0.2	0	1.2	1.8	0.8	0	1.8	1.8	1.5	0.7	1.5	0
Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter sp. M1Ju16	0	0	0	0.3	0.4	4.8	0.2	0	0.6	5.9	0	0	0	0
Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas koreensis	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfoluna	Desulfoluna butyratoxydans	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	Thermoleophilia	Solirubrobacterales	Patulibacteraceae	Patulibacter	unclassified	0	0	0	0	0.6	0	0	0	0	1	0	0	0.8	0
Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella	unclassified	0	0	0	0	0	0.2	0	38	0	0	1.5	0	0	20.2
Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	unclassified	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas sp. KAR40	0.5	0	0.1	0	0.8	0.9	0	0.1	0	3.7	0	0	0.6	0
Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium restrictum	0	0	0	0	0	0	1.2	0	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus arbutinivorans	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. 'Mali 21'	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0
Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	Opitutus sp. enrichment culture clone Lt-B7	0.8	0	0.4	2.3	0.1	0	1.4	0	0	0	0	0.8	4.2	0
Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia mannitolilytica	0	0.7	0.9	0.6	0	0	0	0.4	0	0	0	0	0	0.8
Firmicutes	Bacilli	Bacillales	Bacillaceae	Amphibacillus	Amphibacillus tropicus	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0
Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira sp. enrichment culture clone 3301	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0
Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	unclassified	0	0.9	0	0	0	0	0	0.2	1.2	2.7	0	0	0.5	0.7
Proteobacteria	Alphaproteobacteria	Holosporales	unclassified	unclassified	unclassified	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0
Chloroflexi	Chloroflexia	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon	unclassified	0.3	0	0	4.1	0	0	0	0	0	0.9	0	3	0	0
Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Flexibacter	Flexibacter flexilis	0.6	0	0.3	2.3	0	0.3	0	0.1	0	0.9	2.4	2.4	0	0
Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Chitinophaga	Chitinophaga pinensis	0.1	0	0	2	0.5	4.3	0	0	0	0.9	0.9	1	1.9	2.4
Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Byssovorax	Byssovorax cruenta	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax paradoxus	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. MI-2b	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0.6
Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. VS-3	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0
Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium sp. P-7	0.2	0	0.4	1	2.2	1.5	0	0	0	0	0	0.8	0.4	0
Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. L2181	0	0	0	0	0	0.6	0.1	0	0	0	0	0	0	0
Planctomycetes	Planctomycetia	Planctomycetales	Gemmataceae	Gemmata	Gemmata sp. Io1-6	0.6	0.4	1	0	0.5	1.3	0.1	0	0	0	0	0	0.6	0
Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	unclassified	0.4	0	0	0	0.4	0	0	0.3	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. 'Mali 44'	0.5	0	0	0	0	0	2.5	9.9	1.7	0	0	0	0	0
Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Candidatus Glomeribacter	Candidatus Glomeribacter gigasporarum	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. DOSMB-SP10	0.6	0	0.2	0	0	0	0	0	0	0	0	0	0	1.2
Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium halotolerans	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0
Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus	unclassified	0	0	0	0	1.1	0	0	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Micromonospora	unclassified	0	0.8	0	0.3	1.3	0	1	0.2	0.6	0	0.7	0	0	0.7
Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp. C6-6	0.1	0	0	0	0.2	0	0	0	0	0	0	0	0	0
Actinobacteria	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	Conexibacter	Conexibacter sp.	0.8	0	0.7	0	0	0	0.4	0	0	0	0	0	0.8	0
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces sp. 2002-112570	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans	Jatrophihabitans sp.	0	0	0	0.3	0	0.1	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. R3-14	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0
Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Melghirimyces	Melghirimyces profundicolus	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Modestobacter	Modestobacter sp. I11A-00710	0	0	0	0	0	31.6	0	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura	Actinomadura sp. JSM 082016	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0
