from	to	eweight	consensus_lin	Team Name	Section	Sample Location	Plant Scientific Name	Plant Common Name	Date of collection	Time of collection	Elevation	Type of Biom	Soil Characterization	Longitude	Latitude	pH  Litmus Strip	pH meter CALeDNA	Amount of Leaf Litter	Soil Temperature (Celsius)	Moisture content (%)	Nitrogen content	Potassium content	Phosphate content
S18.K0010A2	;NA;;NA;;	307.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium ultimum	3.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacterium;Acidobacterium sp. ORAC	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Candidatus Koribacter;Candidatus Koribacter versatilis	10.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;NA;	33.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;NA;Acidobacteria bacterium KBS 96	9.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;NA;Acidobacteriaceae bacterium enrichment culture clone ANA-RAS-33	3.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;NA;bacterium Ellin342	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;NA;bacterium Ellin371	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;NA;bacterium Ellin5227	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;NA;bacterium Ellin6075	4.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;NA;bacterium Ellin6099	19.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;Blastocatellia;NA;;Aridibacter;	31.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;Blastocatellia;NA;;NA;	29.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;Blastocatellia;NA;;Stenotrophobacter;	23.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;Blastocatellia;NA;;Stenotrophobacter;Stenotrophobacter terrae	54.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;Blastocatellia;NA;;Tellurimicrobium;Tellurimicrobium multivorans	8.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;Blastocatellia;NA;NA;Aridibacter;Aridibacter kavangonensis	4.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;Blastocatellia;NA;NA;Blastocatella;Blastocatella fastidiosa	10.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;Blastocatellia;NA;Pyrinomonadaceae;Arenimicrobium;Arenimicrobium luteum	588.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;Blastocatellia;NA;Pyrinomonadaceae;Brevitalea;	33.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;Blastocatellia;NA;Pyrinomonadaceae;Brevitalea;Brevitalea deliciosa	62.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;Blastocatellia;NA;Pyrinomonadaceae;NA;	86.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;Holophagae;Holophagales;Holophagaceae;Holophaga;	43.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;Holophagae;Holophagales;Holophagaceae;Holophaga;Holophaga sp. WY42	14.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;Holophagae;Holophagales;Holophagaceae;Holophaga;Holophaga sp. oral clone CA002	11.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;NA;;NA;;	102.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;NA;;NA;Luteitalea;Luteitalea pratensis	1141.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;NA;NA;NA;Luteitalea;Luteitalea pratensis	2.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;Solibacteres;Solibacterales;Bryobacteraceae;NA;	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;Solibacteres;Solibacterales;NA;;	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Candidatus Solibacter;Candidatus Solibacter usitatus	6.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Aciditerrimonas;Aciditerrimonas ferrireducens	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidithiomicrobium;Acidithiomicrobium sp. P1	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Iamia;Iamia majanohamensis	9.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Acidimicrobiia;Acidimicrobiales;NA;;	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Acidimicrobiia;Acidimicrobiales;NA;NA;Acidimicrobiales bacterium URHD0090	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Acidimicrobiia;NA;;NA;	3.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
