Gene(KO)	Gene Description	S18.K0010A2	S18.K0011C1	S18.K0011C2	S18.K0033C1	S18.K0033C2	S18.K0145B1	S18.K0147C2	S18.K0148A1	S18.K0154C1	S18.K0154C2	S18.K0191C1	S18.K0192B2	S18.K0192C1	S18.K0195C1
K00001	"E1.1.1.1, adh; alcohol dehydrogenase EC:1.1.1.1"	51.61749639	95.08333333	38.74722222	66.48257576	38.60238095	120.4507937	26.76515152	45.37261905	80.97106782	90.42777778	119.5212121	105.2361472	311.8922619	138.9281746
K00002	"AKR1A1, adh; alcohol dehydrogenase (NADP+) EC:1.1.1.2"	0.5	0	0	0	0.166666667	0	0	0	0.5	0	0.5	0	0	0
K00003	E1.1.1.3; homoserine dehydrogenase EC:1.1.1.3	622.0197691	960.7516234	510.8965729	648.4271284	498.9623016	615.1155844	340.2520322	819.087013	1030.631331	1090.512771	1159.840043	1147.468272	1222.691649	1017.377198
K00004	"BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase EC:1.1.1.4 1.1.1.- 1.1.1.303"	32.59944084	93.625	31.48472222	60.65896465	49.78730159	107.4109127	36.59680135	36.45943362	57.10546537	98.13888889	80.68888889	102.4561869	61.55694444	100.093348
K00005	gldA; glycerol dehydrogenase EC:1.1.1.6	9.04702381	20.90992063	6.186111111	11.52916667	6.9	8.786111111	4.5375	13.48115079	19.5125	18.74722222	15.48472222	11.33154762	18.17142857	29.64821429
K00007	dalD; D-arabinitol 4-dehydrogenase EC:1.1.1.11	50.67777778	198.4162698	30.59722222	72.94722222	18.06230159	18.20833333	28.85555556	54.38888889	77.93095238	149.2761905	73.99166667	51.51468254	37.46865079	102.8972222
K00008	"SORD, gutB; L-iditol 2-dehydrogenase EC:1.1.1.14"	560.9332071	296.6996032	496.6305556	479.217298	553.6011905	490.5198413	244.5078223	187.7175505	449.5827561	313.9611111	1014.794823	1106.044877	1131.471429	399.5278499
K00009	mtlD; mannitol-1-phosphate 5-dehydrogenase EC:1.1.1.17	15.98957431	43.46111111	19.4	34.38149351	1.05	2.708333333	6.652212602	32.09949495	47.14188312	48.70717893	29.91605339	7.413924964	19.75952381	42.1982684
K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase EC:1.1.1.18 1.1.1.369	459.7940657	911.4222222	290.3583333	381.4109848	277.0869048	355.1869048	195.1063913	1382.747312	1274.702345	985.5015873	684.7604798	630.2544372	592.9261905	804.3037626
K00011	AKR1B; aldehyde reductase EC:1.1.1.21	0	0.1	0	0.1	0	0	0	0.1	0.1	0	0	0	0	0.3
K00012	"UGDH, ugd; UDPglucose 6-dehydrogenase EC:1.1.1.22"	835.6951659	1226.44329	652.5136364	930.5021284	749.8488095	995.1925685	444.1308682	863.4818543	1236.196411	1350.889755	1659.892316	1645.806566	1859.375776	1193.528449
K00013	hisD; histidinol dehydrogenase EC:1.1.1.23	640.7223304	960.5599567	523.3021284	672.0988456	527.6718254	673.6516955	356.1070106	800.1721861	1022.989592	1090.986941	1211.743506	1200.158153	1198.213871	916.2456929
K00014	aroE; shikimate dehydrogenase EC:1.1.1.25	594.0327922	1378.813276	533.8844517	794.6794012	423.225	751.907684	409.0815055	952.1760823	1256.478716	1454.557576	1086.433153	1058.727165	1126.539989	1414.985873
K00015	"gyaR, GOR1; glyoxylate reductase EC:1.1.1.26"	53.86515152	80.66666667	51.72222222	87.81237374	47.34166667	91.89166667	70.11363636	14.95	78.73459596	89.76111111	132.2769481	109.8929293	229.2111111	100.1638889
K00016	"LDH, ldh; L-lactate dehydrogenase EC:1.1.1.27"	51.48578644	86.81746032	38.75833333	67.34209957	22.87619048	51.75079365	20.08695286	32.12074315	84.89022367	110.5543651	127.2142857	90.41154401	165.0289683	79.17644023
K00018	hprA; glycerate dehydrogenase EC:1.1.1.29	111.0033911	352.7758297	37.77157287	84.27290765	25.18809524	41.35328283	48.06670274	654.8540765	525.440368	394.865873	157.8057359	104.2914502	95.05434704	312.9741522
K00019	"E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase EC:1.1.1.30"	308.2275433	847.5877345	232.6493506	403.1237915	191.9821429	367.6286797	194.3451239	752.5799603	843.8435967	861.6171356	534.4775072	484.6387446	683.5841089	775.0915082
K00020	"mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase EC:1.1.1.31"	997.6429834	1557.631494	823.1110931	996.235588	829.5710317	1078.257774	470.1685546	1206.246122	1541.78824	1633.413528	1744.624856	1771.884848	1727.985047	1539.997814
K00021	HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) EC:1.1.1.34	26	76.16666667	39.02777778	55.99166667	12.09920635	19.75	27.83333333	18.91666667	55.19444444	95.09722222	77.35277778	45.81944444	71.6577381	73.75
K00023	phbB; acetoacetyl-CoA reductase EC:1.1.1.36	327.0935426	1000.439719	185.5572872	309.4733405	189.4007937	344.2342352	148.8739899	1294.538997	1167.775956	997.0242063	506.0640332	480.8460498	464.4837121	723.0936547
K00024	mdh; malate dehydrogenase EC:1.1.1.37	807.372583	891.5809885	653.4021284	777.3069264	747.8563492	864.8663781	415.4850409	778.8080447	1064.059542	1035.644517	1535.061436	1641.803427	1467.522204	890.5794411
K00027	"ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) EC:1.1.1.38"	283.1711039	233.1222222	334.125	236.2359668	270.3559524	313.0119048	202.6660654	81.83452381	281.1130952	291.5369408	479.6316017	528.2310967	542.6464286	341.3731463
K00029	"E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) EC:1.1.1.40"	794.3708874	1279.260029	559.4349567	759.8718975	682.1361111	842.3411977	352.8171717	1310.923629	1444.407215	1383.413889	1447.217352	1524.339827	1310.180501	1094.617933
K00030	IDH3; isocitrate dehydrogenase (NAD+) EC:1.1.1.41	245.2083333	80.75833333	198.8388889	215.5944444	243.4388889	239.425	107.25	28.47777778	149.7472222	126.4472222	506.5449495	526.5513889	522.1027778	136.0444444
K00031	"IDH1, IDH2, icd; isocitrate dehydrogenase EC:1.1.1.42"	744.352886	1410.267893	559.957684	733.44329	553.5170635	743.1981241	392.3125661	1468.039646	1562.99118	1587.995274	1326.159668	1290.481169	1240.935299	1232.717121
K00032	E1.1.1.43; phosphogluconate 2-dehydrogenase EC:1.1.1.43	13.5297619	41.86904762	1.616666667	2.016666667	1.028571429	2.196428571	2.25	108.9047619	79.175	45.98333333	8.908333333	3.50952381	2.9	71.2172619
K00033	"PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase EC:1.1.1.44 1.1.1.343"	439.5395382	522.0603535	387.6330808	601.6600289	450.3126984	699.4949495	325.3680856	162.5414863	498.3289683	649.5583694	978.4417749	1006.339773	1168.579149	706.4001301
K00034	gdh; glucose 1-dehydrogenase EC:1.1.1.47	382.0795455	226.9527778	353.0388889	349.1088384	348.1281746	353.8400794	185.661075	56.12229437	285.0208153	328.7126984	722.2100649	769.1378066	870.5956349	365.7660104
K00035	gal; D-galactose 1-dehydrogenase EC:1.1.1.48	60.51111111	149.4694444	44.60833333	82.56944444	38.56666667	92.31944444	33.41666667	37.04722222	90.57222222	154.375	107.2361111	106.2472222	147.1472222	133.3483333
K00036	"G6PD, zwf; glucose-6-phosphate 1-dehydrogenase EC:1.1.1.49 1.1.1.363"	660.4034091	1279.115188	545.2044012	900.4472042	532.8503968	796.1281025	457.8275914	892.1229257	1228.312103	1327.109921	1344.67325	1290.752633	1504.124152	1266.428997
K00038	E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase EC:1.1.1.53	42.78295455	126.0833333	51.29166667	87.61300505	77.23095238	162.477381	55.17537879	31.56704545	96.0149531	114.6242424	99.95972222	135.2180556	129.8162698	127.6656926
K00039	rbtD; ribitol 2-dehydrogenase EC:1.1.1.56	29.02979798	87.68459596	22.09393939	22.65732323	18.8	44.51212121	10.86515152	23.6969697	56.89621212	78.975	28.11262626	30.83131313	69.24520202	66.16060606
K00040	uxuB; fructuronate reductase EC:1.1.1.57	89.98118687	216.0380952	88.475	191.1569444	84.08333333	142.075	70.16931818	63.98277417	162.3184885	231.0055556	189.4213384	179.2811508	224.7797619	312.7740079
K00041	uxaB; tagaturonate reductase EC:1.1.1.58	31.19747475	107.2151154	26.83030303	77.24949495	20.92063492	55.66518759	29.07828283	42.10645743	66.55310245	135.7365079	83.3540404	74.92200577	44.85295815	102.528438
K00042	"garR, glxR; 2-hydroxy-3-oxopropionate reductase EC:1.1.1.60"	97.45678211	224.522619	74.74444444	184.5103535	54.43690476	101.9805556	86.27348485	63.71309524	142.5536075	208.0531746	221.0656566	169.3147186	305.0198413	219.9519841
K00043	gbd; 4-hydroxybutyrate dehydrogenase EC:1.1.1.61	0.666666667	2.6	0.416666667	0.808333333	0	0	0.333333333	1.058333333	1.391666667	3.416666667	0.625	0.166666667	0.291666667	1.675
K00045	"E1.1.1.67, mtlK; mannitol 2-dehydrogenase EC:1.1.1.67"	92.1010101	316.1837662	36.22752525	65.01893939	14.01785714	38.08225108	39.02424242	611.0984848	488.3453283	348.6055556	111.0146465	48.63371212	53.01287879	278.9228824
K00046	idnO; gluconate 5-dehydrogenase EC:1.1.1.69	432.8074315	715.0869408	326.9882395	462.4132395	382.9365079	468.0060606	200.2809283	537.1857504	677.5005411	687.0326118	827.5005411	831.6772006	708.6152597	615.9626371
K00048	fucO; lactaldehyde reductase EC:1.1.1.77	0.5	1.964285714	0	2	2.833333333	1.5	0.5	0.75	1.75	4.142857143	4.045454545	0.976190476	1.75	4.083333333
K00050	ttuD; hydroxypyruvate reductase EC:1.1.1.81	0	0	0	0	0	0	0	0	0	0.142857143	0	0	0	0.5
K00052	"leuB, IMDH; 3-isopropylmalate dehydrogenase EC:1.1.1.85"	686.5839466	1111.888997	571.7266234	758.4943001	604.2412698	859.083658	383.6969096	822.2267316	1098.492623	1226.778608	1289.071789	1364.990097	1466.770184	1078.655743
K00053	ilvC; ketol-acid reductoisomerase EC:1.1.1.86	629.6889971	1006.959957	504.7799062	651.7849567	530.0579365	704.3683622	339.2070106	815.1242063	1032.131259	1108.923052	1152.249567	1214.540097	1142.899982	930.9401374
K00054	mvaA; hydroxymethylglutaryl-CoA reductase EC:1.1.1.88	121.3482323	99.42146465	122.8358586	47.26893939	78.01666667	33.58304473	29.79646465	38.25126263	105.215368	119.2722222	145.4424242	166.0392677	81.53232323	77.9844697
K00055	E1.1.1.90; aryl-alcohol dehydrogenase EC:1.1.1.90	46.3202381	136.2880952	54.22460317	101.5428571	35.92619048	88.99960317	57.46666667	43.85800866	88.25674603	174.3638889	120.1628066	130.3666667	118.5880952	152.7337302
K00057	gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) EC:1.1.1.94	554.527886	948.06829	423.4521284	652.8071789	463.6718254	682.8183622	329.6070106	800.686075	986.2534812	1057.386941	1121.392316	1094.747042	1128.697204	915.2742643
K00058	"serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase EC:1.1.1.95 1.1.1.399"	1402.679365	2116.28658	1235.812987	1482.892027	1252.85873	1668.692677	803.0020322	1089.305844	1824.457413	2255.280195	2627.430087	2726.830988	2837.086472	1964.734369
K00059	fabG; 3-oxoacyl-acyl-carrier protein reductase EC:1.1.1.100	3884.526768	5833.209019	3170.568615	4418.560967	3383.942857	4774.749278	2413.141534	4006.526154	5761.194823	6279.607792	7575.857107	7485.300216	8263.540332	6106.961708
K00060	tdh; threonine 3-dehydrogenase EC:1.1.1.103	113.7555556	126.0515873	89.63888889	167.1583333	58.70595238	163.1420635	97.22936508	37.15079365	125.6269841	152.3333333	283.6464286	198.8353175	395.8144841	186.7954762
K00064	E1.1.1.122; D-threo-aldose 1-dehydrogenase EC:1.1.1.122	143.6669192	484.1678932	88.51363636	173.7542929	68.44087302	168.1195527	79.88383838	645.5179293	578.1554834	535.1777778	219.300938	145.8768038	228.6025613	408.6979221
K00065	kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase EC:1.1.1.127	93.79217172	217.609127	104.7027778	200.8853535	102.6178571	222.025	93.47402597	72.16850649	148.5580447	275.3734127	235.0227273	236.5178932	268.9623016	272.5748413
K00066	algD; GDP-mannose 6-dehydrogenase EC:1.1.1.132	87.34761905	277.097619	32.43571429	58.2484127	24.27261905	56.78571429	40.8	516.772619	423.8357143	323.3111111	124.0206349	85.88174603	161.5575397	268.7029762
K00067	"rfbD, rmlD; dTDP-4-dehydrorhamnose reductase EC:1.1.1.133"	776.6163059	1339.080988	579.157684	919.6619048	666.7896825	839.3695527	445.5291847	955.5383117	1263.785281	1424.638528	1539.78272	1567.888871	1303.599982	1207.808157
K00068	srlD; sorbitol-6-phosphate 2-dehydrogenase EC:1.1.1.140	0	0	0	0	0.5	0.375	0	0	0.182539683	0.142857143	0	0.91468254	0.0625	0
K00073	allD; ureidoglycolate dehydrogenase (NAD+) EC:1.1.1.350	8	7.766666667	7.833333333	5.516666667	11.5	28.69444444	2.625	5.85	5.711111111	5.291666667	16.89772727	23.26388889	30.88888889	10.10833333
K00074	"paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase EC:1.1.1.157"	831.8350108	1458.931421	715.1459235	1083.996735	611.9301587	1007.897835	702.6510041	951.9590368	1468.874892	1685.586183	1770.245437	1536.11039	2373.185083	1529.966725
K00075	murB; UDP-N-acetylmuramate dehydrogenase EC:1.3.1.98	554.090386	938.7099567	423.1187951	652.8863456	463.9218254	676.2766955	334.3778439	806.098575	986.9368146	1061.52583	1111.681006	1092.830375	1118.363871	908.8992033
K00076	hdhA; 7-alpha-hydroxysteroid dehydrogenase EC:1.1.1.159	3	22.08333333	3.333333333	10.94444444	10.41666667	22.95833333	3.916666667	11.83333333	16.36111111	23.41666667	13.175	18.15833333	8.416666667	32.42162698
K00077	"panE, apbA; 2-dehydropantoate 2-reductase EC:1.1.1.169"	679.0770743	1153.666775	553.1544012	762.8165765	551.5615079	869.1213564	377.6735991	700.8280483	1106.951533	1227.992965	1303.933676	1275.464538	1446.431494	1173.942526
K00082	ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase EC:1.1.1.193	2.95	11.40833333	8.895833333	13.40277778	3.416666667	4.395833333	7.0625	1.833333333	9.341666667	14.90833333	9.379166667	11.75	23.50694444	16.97083333
K00084	CBR3; carbonyl reductase 3 EC:1.1.1.184	1	0	0	0	0	0	0	0	0	0	0	1	0	0
K00086	"dhaT; 1,3-propanediol dehydrogenase EC:1.1.1.202"	0	0	0	0	0	3	0	0	0	0	0	0	0	0
K00087	"ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit EC:1.17.1.4"	0.2	1.2	0.4	0.55	1.75	4.566666667	0.3	0.35	0.6	1.6	0.9	1.25	1.375	4.79
K00088	"IMPDH, guaB; IMP dehydrogenase EC:1.1.1.205"	692.8691739	1182.671068	607.5354618	843.3229618	562.1896825	776.8862193	428.8597703	867.6594336	1170.001966	1341.005628	1352.297673	1312.105375	1287.896014	1152.385989
K00090	ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase EC:1.1.1.79 1.1.1.81 1.1.1.215	74.74924242	227.4448413	48.89722222	84.40833333	40.9281746	44.74007937	44.10880231	92.92074315	115.9305916	179.7162698	125.7992063	105.372619	92.60873016	197.2394231
K00091	E1.1.1.219; dihydroflavonol-4-reductase EC:1.1.1.219	97.22445887	106.3762266	82.37752525	98.03838384	69.89642857	191.5755051	57.04494949	43.6247114	149.3701659	156.9694444	220.495202	204.6902597	335.8337121	203.5035173
