Pathway L1	Pathway L2	Pathway L3	S18.K0010A2	S18.K0011C1	S18.K0011C2	S18.K0033C1	S18.K0033C2	S18.K0145B1	S18.K0147C2	S18.K0148A1	S18.K0154C1	S18.K0154C2	S18.K0191C1	S18.K0192B2	S18.K0192C1	S18.K0195C1
Metabolism	Carbohydrate metabolism	 Glycolysis / Gluconeogenesis [PATH:ko00010]	21206.20541125541	32970.41352813854	17458.45391414141	23785.775216450213	17539.381349206335	24512.524512987016	13056.123875661384	26445.72712842715	35278.53679653679	37194.9902958153	41220.20124458876	40267.018308080784	44619.80315656566	33553.14094516595
Metabolism	Carbohydrate metabolism	 Citrate cycle (TCA cycle) [PATH:ko00020]	16933.29543650793	24745.877308802294	13933.090981240977	18524.354816017316	14528.634523809516	19349.29621212121	10229.277026214528	19558.764844877343	26394.37142857142	28062.415945165936	33090.88187229437	33075.19509379509	34930.37582972582	25020.900919358424
Metabolism	Carbohydrate metabolism	 Pentose phosphate pathway [PATH:ko00030]	16002.394480519477	24604.735786435787	12977.394733044737	17661.63156565657	13480.936507936514	18083.674025974036	9134.06632996633	19103.284776334785	25531.399927849932	27616.099963924964	30788.2488095238	30345.644751082258	32166.85750360749	24449.281430513933
Metabolism	Carbohydrate metabolism	 Pentose and glucuronate interconversions [PATH:ko00040]	7237.466865079364	9745.834126984122	5984.037698412698	8800.534974747474	6946.765476190478	8806.053174603172	4386.52266113516	5658.503336940836	9295.899206349202	11261.633152958148	14692.1244047619	15080.609523809526	15145.57440476191	10420.10882867133
Metabolism	Carbohydrate metabolism	 Fructose and mannose metabolism [PATH:ko00051]	11898.78297258297	15019.634956709959	9987.033279220781	13000.981204906207	10746.415476190477	13313.62094155844	6768.084229196726	10529.559523809525	16147.505176767685	17774.84823232324	23126.636634199127	23518.7490981241	23870.207323232316	16442.97567543567
Metabolism	Carbohydrate metabolism	 Galactose metabolism [PATH:ko00052]	8410.754599567099	14433.851984126983	6734.502976190476	10395.97169913419	6683.587301587301	9472.658134920634	5132.999795574797	10671.499476911984	14332.18780663781	16225.932972582978	16776.055483405475	15683.794011544003	17795.973214285714	13858.126402208898
Metabolism	Carbohydrate metabolism	 Ascorbate and aldarate metabolism [PATH:ko00053]	4327.267099567098	8447.326298701299	3278.5716630591637	4707.238708513712	3495.4182539682492	5062.9322691197685	2476.347745310245	6994.467568542571	8475.671572871575	8600.849025974023	7983.927759740267	7674.2871392496445	8446.793199855696	7786.91605117105
Metabolism	Lipid metabolism	 Fatty acid biosynthesis [PATH:ko00061]	13344.657575757574	20398.304148629137	10477.690007215011	15124.875432900437	11576.477777777776	16316.320382395386	7909.146693121687	16432.816341991344	21674.82803030301	23029.439682539683	26121.517316017325	26021.19056637807	27072.538203463217	20986.28240453991
Metabolism	Lipid metabolism	 Fatty acid elongation [PATH:ko00062]	10.5833333333333	4.65	7.22222222222222	8.6	2.8388888888888903	8.866666666666669	3.16666666666667	2.25	18.155555555555566	14.1666666666667	24.6944444444444	18.5625	14.3333333333333	4.93333333333333
Metabolism	Lipid metabolism	 Fatty acid degradation [PATH:ko00071]	10510.229112554112	19339.919588744615	8506.18430735931	11617.158261183264	8785.394841269841	14085.718686868675	6438.353583453579	16760.621139971143	20638.86249999999	20239.666810966817	20355.210894660897	20173.929816017302	23360.56222943723	19556.272611000102
Metabolism	Lipid metabolism	 Synthesis and degradation of ketone bodies [PATH:ko00072]	4082.2474567099553	7712.1684343434345	3338.7400072150053	4560.119606782106	3437.1289682539737	5246.721572871567	2561.3120911495876	6184.972456709954	7883.089357864358	8097.08679653679	7761.104599567098	7911.729310966808	9298.968560606058	7629.490044400042
Metabolism	Lipid metabolism	 Cutin, suberine and wax biosynthesis [PATH:ko00073]	3.58333333333333	38.5	0.625	1.20833333333333	0.0	0.125	0.5	20.5416666666667	27.875000000000032	13.4166666666667	3.375	1.375	1.83333333333333	11.4166666666667
Metabolism	Lipid metabolism	 Steroid biosynthesis [PATH:ko00100]	85.34949494949488	58.6325396825397	57.388888888888886	65.22196969696975	71.80595238095238	131.72182539682532	42.7784992784993	17.88950216450217	89.64022366522373	91.24289321789328	203.62597402597353	161.25043290043294	145.3797619047619	77.60974025974026
Metabolism	Lipid metabolism	 Primary bile acid biosynthesis [PATH:ko00120]	119.08950216450222	294.6754329004331	135.36502525252524	204.10782828282814	169.8591269841275	365.173719336219	82.44507575757576	88.0568181818182	237.54274891774855	286.1861111111115	291.7137626262631	387.1263708513706	347.467839105339	339.4548268398271
Metabolism	Lipid metabolism	 Secondary bile acid biosynthesis [PATH:ko00121]	72.6218253968254	163.90277777777771	78.07777777777783	110.5083333333333	124.76031746031751	269.3472222222223	46.213888888888874	52.2361111111111	129.5065476190476	155.8805555555556	161.0005050505051	230.3414682539682	220.17500000000035	191.1459523809524
Metabolism	Metabolism of cofactors and vitamins	 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]	7376.350126262626	10795.767424242427	5899.5353715728725	7365.27353896104	6389.750793650799	8307.884217171717	3922.9580928330915	9929.510119047614	12209.7117063492	12639.205880230873	13825.681890331885	14310.554022366525	13625.295851370844	10684.640248085245
Metabolism	Lipid metabolism	 Steroid hormone biosynthesis [PATH:ko00140]	544.1920815295814	775.7293650793648	509.16388888888866	732.9074494949494	584.3833333333334	1002.3273809523808	419.4924422799421	179.8150974025975	671.8582070707067	839.8825757575752	1182.679166666668	1312.2632936507953	1505.148809523809	881.5013275613283
Metabolism	Energy metabolism	 Oxidative phosphorylation [PATH:ko00190]	32656.606096681106	47943.77070707066	25898.182233044747	34244.415079365084	27611.140476190474	36915.109541847065	17716.474597162094	40333.04202741703	51952.2148989899	54772.38069985571	63042.02996031746	63807.000739538234	62507.73032106782	46991.085543068024
Metabolism	Energy metabolism	 Photosynthesis [PATH:ko00195]	4910.008225108227	8040.0372294372255	3784.033441558442	5707.606926406928	4368.950396825396	6541.90018037518	2935.4553270803276	6528.493434343435	8360.25095598846	9031.242748917768	10001.562698412683	10174.021158008663	10115.115512265518	7854.082989232993
Metabolism	Energy metabolism	 Photosynthesis - antenna proteins [PATH:ko00196]	0.0	0.0	0.0	0.0	4.25	0.0	0.0	0.0	0.0	0.0	0.0	4.25	0.0	0.0
