feature	S1A	S1B	S2A	S2B	S3A	S3B	S4A	S4B	S5A	S5B	S6A	S6B
K00001	273.875	251.260353535354	269.896464646465	440.866161616162	231.455555555556	622.758333333333	9169.55555555555	348.702777777778	42.7444444444444	145.038888888889	82.0583333333333	78.9861111111111
K00003	5873.74166666667	5873.34924242424	4700.36590909091	5333.61616161616	4630.84166666667	7591.09166666667	10626.0583333333	3487.41111111111	7269.45555555556	7824.61388888889	3225.10833333333	7026.08055555556
K00004	3919.38333333333	4170.66363636364	3708.5803030303	3687.82575757576	2876.97222222222	4411.61666666667	1257.21666666667	2625.08333333333	3993.83333333333	4854.3	1970.68333333333	4839.21666666667
K00005	3305.42142857143	3167.3880952381	2198.8	2535.25	2909.16944444444	5688.10476190476	661.691666666667	2325.05	943.783333333333	1972.80714285714	1526.875	2358.3
K00007	0	0	0	0	0	0	69	0	0	0	0	0
K00008	22.8380952380952	10.4214285714286	7	18.3333333333333	3.84444444444444	36.5714285714286	100.6	57.6	1262.6	1088.64047619048	27.5	40.8333333333333
K00009	28.5297619047619	22.4964285714286	11.4583333333333	3.69444444444444	21.3527777777778	45.0825396825397	834.641666666667	32.4333333333333	35.4666666666667	6.67380952380952	39.075	21.4583333333333
K00010	485.438095238095	381.935064935065	85.3636363636364	386.325757575758	38.6444444444444	69.2880952380952	1788.4	421.4	5643.66666666667	2699.89880952381	82.3333333333333	125.333333333333
K00012	1865.73253968254	1557.58481240981	478.799494949495	2563.34595959596	2441.19444444444	2889.99642857143	24094.3722222222	38326.4444444444	4083.5	2061.0126984127	881.591666666667	1973.47777777778
K00013	2372.6880952381	1739.00173160173	1447.78863636364	2112.54797979798	2317.15833333333	6002.25198412698	10803.875	2210.76944444444	5115.75555555556	4415.4876984127	1529.21666666667	4377.27222222222
K00014	9325.79206349206	10005.5922077922	8957.88744588745	10172.9348845599	8670.91825396825	8089.85833333333	18835.5619047619	41994.2611111111	16416.428968254	13494.7555555556	6223.28333333333	9800.80436507936
K00015	24.1111111111111	30.5333333333333	9.625	79.7222222222222	1.675	8.925	6725.46666666667	37475	25.5555555555556	57	41	52.625
K00016	8834.17976190476	7639.37067099567	6471.93257575758	6329.72727272727	8847.07222222222	12932.7130952381	3867.05	6137.88888888889	2228.61111111111	5270.94325396825	4026.4	5742.65277777778
K00018	806.029761904762	778.728571428571	379.895238095238	2478.38095238095	2304.22023809524	2406.63095238095	27.0142857142857	172.083333333333	5064.00476190476	3806.24642857143	1750.94166666667	4816.87857142857
K00019	18.0611111111111	9.93030303030303	2.03030303030303	18.7979797979798	3.17777777777778	12.4166666666667	1331.48333333333	59.4666666666667	3011.12222222222	1125.11666666667	1	1.33333333333333
K00020	589.591666666667	318.452272727273	562.702272727273	801.318181818182	1248.86944444444	202.991666666667	11072.3583333333	149.616666666667	4768.98333333333	3053.05833333333	472.675	3007.65833333333
K00023	8.11111111111111	5.1969696969697	0.363636363636364	10.6313131313131	0	1	898.55	0	6.55555555555556	0	0	0
K00024	2003.8623015873	2254.96363636364	1690.43387445887	3423.3455988456	2556.88968253968	1356.81904761905	16116.5642857143	37892.4	1632.44365079365	2348.8619047619	1883.925	2371.3369047619
K00027	1136.44642857143	1051.85097402597	317.162878787879	1555.76136363636	1089.07777777778	1814.87976190476	9157.325	322.3	1256.9	1619.76547619048	1279.95833333333	2920.08333333333
K00029	266.470634920635	186.458333333333	155.220238095238	1706.47817460317	1549.97023809524	897.127380952381	15779.805952381	37570	4071.62698412698	2467.67857142857	1135.16666666667	2483.92857142857
K00030	4.6	11.2	26.45	38.6666666666667	7.9	12.6166666666667	36.8	1.6	30.8	127.35	60.3	55.0166666666667
K00031	1860.82976190476	1241.97673160173	1250.67196969697	1515.13131313131	1539.21666666667	4460.93531746032	24773.7416666667	39639.0027777778	5789.25555555556	4954.65436507936	824.25	3267.92222222222
K00032	1.21666666666667	0	0	0.833333333333333	0	0.55	0	0	2998.5	1121.58333333333	0	0
