"Pathway"	"S1A"	"S1B"	"S2A"	"S2B"	"S3A"	"S3B"	"S4A"	"S4B"	"S5A"	"S5B"	"S6A"	"S6B"
"ko00010"	170160.582936508	159251.683297258	137865.524170274	176854.691378066	192656.403968254	207114.088888889	373902.118650794	917334.391666667	196129.71547619	201134.683333333	114131.191666667	197599.481746032
"ko00020"	68652.044047619	69510.8955627706	57124.0431818182	90970.8926767677	79167.1277777778	86679.2023809524	358786.158333333	859088.386111111	148250.680555556	124776.700793651	54242.0166666667	117558.480555556
"ko00030"	99991.1666666667	92653.333044733	79048.1445526695	105970.519119769	114303.257936508	115598.559126984	268065.895634921	722720.680555556	159210.91984127	139505.645634921	72573.25	130784.199603175
"ko00040"	24474.9130952381	22090.1173881674	18652.4570707071	24994.4204545455	29011.5611111111	24980.7630952381	151762.005555556	610400.7	50699.0638888889	35930.4488095238	19563.625	27327.8388888889
"ko00051"	129994.638492063	122435.871645022	103236.399025974	125928.202922078	138846.278571429	148995.131349206	206890.614285714	632613.544444444	130337.965873016	125824.848412698	77514.4	109632.134126984
"ko00052"	107986.508333333	100567.867604618	83139.573953824	106948.944805195	119819.426984127	109922.059920635	140313.849603175	428898.830555556	77913.2869047619	90577.6384920635	60763.3166666667	96938.0714285714
"ko00053"	9218.69285714286	6714.40775613276	6985.06767676768	8910.91919191919	17317.6138888889	9374.25952380952	63233.8972222222	189119.902777778	41096.8611111111	18688.3115079365	5788.75833333333	11436.9777777778
"ko00061"	73771.4880952381	69503.2074675325	59668.0562770563	78427.2200577201	79120.2325396825	94962.748015873	308954.127380952	981659.383333333	127259.595238095	109027.451190476	56021.8166666667	100155.446428571
"ko00071"	19293.0047619048	19673.8683621934	15997.8223304473	23041.2968975469	18425.269047619	19424.2388888889	203539.890079365	350761.436111111	107096.675396825	58509.1222222222	14584.5083333333	27810.2218253968
"ko00072"	5163.6880952381	4531.78961038961	3797.70151515152	3657.51767676768	5104.25833333333	7533.86587301587	106630.791666667	229317.486111111	43762.6388888889	15652.4043650794	2732.43333333333	3995.58888888889
"ko00100"	0	0	0	0	0	0	31.6	53.6	0	1	0	0
"ko00120"	518.266666666667	283.39696969697	513.780303030303	443.54797979798	1232.61111111111	143.319444444444	1863.43333333333	240.316666666667	2384.78333333333	286.566666666667	678.666666666667	443.166666666667
"ko00121"	537.822222222222	297.39696969697	517.44696969697	472.992424242424	1233.61111111111	144.319444444444	1236.63333333333	112.516666666667	4485.42777777778	380.3	687.666666666667	463.833333333333
"ko00130"	24451.0968253968	25355.5673520924	19686.8336219336	34510.4769119769	31515.5202380952	28811.3619047619	152333.008730159	345214.325	69093.1547619048	49842.6345238095	21326.3333333333	44547.9313492063
"ko00140"	150.966666666667	70.2666666666667	20.5	992.916666666667	965.15	203.45	418.666666666667	411.75	3754.33333333333	551.5	303.5	699.25
"ko00190"	117345.54484127	116287.238419913	90183.2336580087	153614.960137085	130542.896031746	122163.752777778	627997.253571429	1555224.85	265315.145634921	212568.108333333	91345.3916666667	200215.382142857
"ko00195"	52862.4373015873	50481.0590909091	42653.620995671	56710.6536796537	59046.4952380952	68811.6857142857	138776.914285714	327974.955555556	58367.3214285714	64259.8563492063	35438.2	67662.9063492064
"ko00220"	60637.9234126984	53424.6918831169	44595.9847402597	61609.8318903319	62897.8948412698	91619.3615079365	227725.482142857	301915.711111111	136788.085714286	99493.426984127	41452.1916666667	82604.2781746032
"ko00230"	338154.335714286	317261.329040404	268016.35007215	359185.077561328	372894.954365079	441125.140873016	1001867.54801587	1986893.21388889	464702.165079365	435404.284920635	245639.258333333	421562.179365079
"ko00232"	0	0.6	0	0	0.4	1.4	62.2666666666667	53.6	0	1	0	0
"ko00240"	263266.078174603	245953.643181818	206964.752705628	283649.866883117	300168.826190476	359712.523015873	691816.288095238	1610921.27222222	315827.496031746	321623.745634921	193431.75	332490.578968254
"ko00250"	106297.959920635	99510.26497114	83566.680050505	119224.734848485	123525.633333333	142500.298809524	411542.419444444	996485.577777778	188123.772222222	157318.524603175	75830.0583333333	149100.033333333
"ko00260"	115938.820238095	109251.165367965	91148.307034632	129107.145562771	128922.382539683	151154.402380952	414329.727380952	963831.597222222	218645.41468254	178111.898015873	84624.5916666667	160933.440873016
"ko00261"	28677.4571428571	26778.7667748918	22187.887012987	32508.1917388167	32370.9753968254	35618.9119047619	98293.9821428571	202988.136111111	51282.4329365079	44923.3984126984	19206.65	43190.7615079365
"ko00270"	137423.904365079	129457.599098124	107437.172113997	146463.050324675	155100.805952381	193768.96468254	460800.296031746	1161809.44722222	198652.113492064	189656.187301587	94819.525	186732.297619048
"ko00280"	28808.3829365079	27774.325	22152.8821428571	29264.6507936508	29052.1626984127	37229.7214285714	297223.178571429	654962.65	148253.087301587	76233.9821428571	18878.2833333333	38567.6821428571
"ko00281"	119.774603174603	77.862987012987	39.7439393939394	90.7626262626263	7.07222222222222	38.477380952381	110528.1	76261.1666666667	30506.8944444444	15495.1285714286	43.1333333333333	37.7833333333333
"ko00290"	69636.5591269841	67229.2294372294	56725.3913419913	64301.5954184704	58691.6761904762	92909.3678571428	135359.329761905	118342.386111111	91447.4071428571	92538.3031746032	44267.725	85361.9317460317
"ko00300"	79799.2650793651	75099.9726190476	63024.1273809524	83872.1567460317	88430.1801587302	107390.243650794	210965.251190476	419473.586111111	100217.955952381	102750.004365079	52880.0833333333	102371.882936508
"ko00310"	10304.1507936508	10788.0006854257	9104.91219336219	12730.3578643579	9849.67380952381	7492.30873015873	158554.51468254	342720.675	85867.0817460317	38387.9547619048	8803.30833333333	18734.4432539683
"ko00311"	2764.96388888889	2904.20227272727	1779.24393939394	2277.31818181818	2113.38055555556	2711.79722222222	8253.65833333333	38531.2416666667	3974.81111111111	2706.56666666667	1555.35	2564.64166666667
"ko00330"	28646.9075396825	26208.6255772006	20346.8668470418	35566.6522366522	34217.2650793651	42079.7996031746	208516.507539683	541009.611111111	142783.612698413	80802.5174603175	22312.0333333333	54690.9678571429
"ko00332"	9924.06904761905	8635.21060606061	6726.01774891775	8808.62175324675	9216.45158730159	15190.3797619048	21868.5035714286	6383.39722222222	12174.9956349206	12484.3515873016	6680.30833333333	13369.3599206349
"ko00333"	16267.9214285714	15657.9375541126	13260.7220779221	19003.5532106782	18910.8884920635	19721.7305555556	92482.5428571429	196667.638888889	40863.3253968254	27833.9277777778	12853.225	24032.9384920635
"ko00340"	44302.1150793651	39665.8446969697	31843.9316017316	45042.6107503607	43801.7952380952	77070.4384920635	197889.489285714	368794.597222222	91623.0603174603	72821.4646825397	27416.7083333333	61683.448015873
"ko00350"	19541.2182539683	18602.6889249639	15897.1738455988	22941.4534632035	21185.7384920635	25203.7384920635	162283.040079365	311934.563888889	73315.7531746032	52691.648015873	14205.4083333333	34842.1857142857
"ko00360"	12953.2547619048	11038.5405122655	9373.92582972583	15053.9336219336	16731.1126984127	23367.7654761905	193394.86468254	760383.413888889	86929.8317460317	43467.9384920635	9689.95833333333	23391.9543650794
"ko00361"	2272.15476190476	1193.85930735931	1969.40454545455	839.775252525253	3891.51944444444	4582.40198412698	36951.9916666667	39674.2861111111	11500.5722222222	6697.47103174603	979.883333333333	1142.15555555556
"ko00362"	11380.1083333333	9359.75833333333	7887.74166666667	9097.81944444445	14741.675	19022.1916666667	230505.533333333	346461.747222222	122051.069444444	41642.1444444444	6620.71666666667	13742.6611111111
"ko00363"	0	0	0	0	0	0	6	0	0	0	0	0
"ko00364"	28.7214285714286	13.5214285714286	0	25	0.8	10.1464285714286	61458.7666666667	383.366666666667	20792.25	4068.48214285714	0	0
"ko00365"	0.3	0	0	0	0	0.3	40.4	0	344.8	38.1	0	0
"ko00380"	6364.54126984127	5762.80209235209	4964.15288600289	6723.85245310245	5966.1496031746	8559.53095238095	148504.078968254	343642.791666667	90804.6865079365	41320.8714285714	6145.83333333333	11733.9968253968
"ko00400"	119261.447619048	113131.420634921	96740.3115079365	121996.398809524	124142.230952381	153860.671825397	345782.971031746	816182.288888889	165409.244047619	159201.681349206	77164.9166666667	148031.372619048
"ko00401"	11796.8694444444	11085.4593073593	9054.19859307359	15460.1958874459	14310.2107142857	18203.4813492063	71078.5261904762	194023.797222222	27034.380952381	22610.6373015873	9652.56666666667	22385.3468253968
"ko00404"	0	0	0	0	0	0	998	0	0	0	0	0
"ko00405"	10715.980952381	9502.42251082251	8231.81774891775	10347.6495310245	11483.3876984127	15310.3027777778	32684.1619047619	81198.8472222222	13656.978968254	16643.7861111111	6881.34166666667	13821.1349206349
"ko00410"	6768.68650793651	6589.28398268398	3290.25303030303	10214.0353535354	7421.99722222222	8620.09761904762	77855.3583333333	153578.975	66744.5944444444	32029.3214285714	4896.18333333333	15725.3333333333
"ko00430"	17420.7202380952	17289.3385642136	14563.1500721501	19485.7997835498	16952.821031746	22384.2781746032	46707.5063492063	85513.2138888889	39692.7984126984	29709.1908730159	13308.1416666667	28063.7293650794
"ko00440"	5382.62738095238	4570.55995670996	3419.59924242424	4885.31060606061	6260.78611111111	8043.71904761905	31950.1416666667	115521.827777778	14433.6222222222	7707.98412698413	2665.8	4329.98055555555
"ko00450"	44330.8702380952	42073.2062409812	35446.9566378066	46877.8023088023	47660.5321428571	58290.5948412698	136728.634126984	361333.694444444	57696.8873015873	57905.9853174603	34353.6833333333	57893.7182539683
"ko00460"	17735.480952381	16228.7675324675	13694.8258658009	20083.1251803752	21063.4912698413	23811.3650793651	86949.9928571429	385026.675	40391.880952381	26247.4976190476	13578.975	23977.9523809524
"ko00471"	22114.7583333333	21690.2532467532	17911.9091991342	24030.4862914863	23626.8829365079	27552.0369047619	77887.9345238095	123711.716666667	30369.430952381	28451.9261904762	15990.9833333333	27790.4773809524
"ko00472"	1322.74166666667	1124.64116161616	986.088383838384	1299.73484848485	2177.53611111111	2228.51388888889	1531.31944444444	526.275	1780.29444444444	2800.11666666667	796.95	1550.15277777778
"ko00473"	22976.2924603175	20882.1269480519	17834.0329004329	21643.1596320346	25141.7376984127	30548.380952381	39548.8202380952	88129.8027777778	21746.9678571429	23334.1103174603	15489.3916666667	24143.2043650794
"ko00480"	35684.6734126984	34066.8085858586	29349.751046176	41413.6801948052	37712.1313492063	40828.3301587302	242042.642063492	318901.919444444	98847.0325396825	73484.1757936508	27430.95	55458.7119047619
"ko00500"	184822.736904762	168901.051948052	143467.516233766	166042.187409812	189924.707142857	211363.458730159	232188.711904762	933766.233333333	128767.567857143	158514.046428571	96627.6916666667	145588.157142857
