otu name	16rRNA	Percent Homology	evalue	bitscore	homology extract gibbsfree_otu/gibbsfree_homolog	total length gibbsfree_otu/otu_lenth/gibbsfree_homolog/homolog_length	BAF15	MWPF15	RKF15	BSGF15	WRF15	GNF15	MMF15	
OTU_1	u69636.1 bradyrhizobium lupini str. fn 13 (usda 3505)  ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__bradyrhizobiaceae;g__bradyrhizobium;s__bradyrhizobium lupini;superkingdom__bacteria	99.2592592592593	1.78249174020842e-133	479.179036479626			169	131	109	149	47	263	32	
OTU_2	uncultured kaistobacter sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__sphingomonadales;f__sphingomonadaceae;g__kaistobacter;s__kaistobacter spp.;superkingdom__bacteria	99.2619926199262	6.22150749217035e-133	477.375667678515			2	149	28	156	260	97	20	
OTU_3	uncultured skermanella sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhodospirillales;f__rhodospirillaceae;g__skermanella;s__skermanella spp.;superkingdom__bacteria	98.8929889298893	2.6454523023858e-131	471.965561275181			1	94	1	273	197	39	0	
OTU_4	actinophytocola sp. yim m13705 ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__pseudonocardiaceae;g__actinophytocola;s__actinophytocola sp.;superkingdom__bacteria;subclass  actinobacteridae;suborder__pseudonocardineae	98.8929889298893	2.18056748386766e-132	475.572298877403			353	5	0	0	0	8	1	
OTU_5	uncultured dongia sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhodospirillales;f__rhodospirillaceae;g__dongia;s__dongia spp.;superkingdom__bacteria	99.2619926199262	6.22150749217035e-133	477.375667678515			44	11	109	0	0	11	326	
OTU_6	chitinophaga sp. sen1074 ;k__bacteria;p__bacteroidetes;c__sphingobacteriia;o__sphingobacteriales;f__chitinophagaceae;g__chitinophaga;s__chitinophaga sp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	98.5239852398524	2.65647502031241e-131	471.965561275181			24	486	0	1	0	0	0	
OTU_7	skermanella sp. a103_02 ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhodospirillales;f__rhodospirillaceae;g__skermanella;s__skermanella sp.;superkingdom__bacteria	98.8929889298893	2.6454523023858e-131	471.965561275181			2	113	3	292	260	71	1	
OTU_8	uncultured prosthecobacter sp. ;k__bacteria;p__verrucomicrobia;c__verrucomicrobiae;o__verrucomicrobiales;f__verrucomicrobiaceae;g__prosthecobacter;s__prosthecobacter spp.;superkingdom__bacteria;superphylum__chlamydiae/verrucomicrobia group	99.2619926199262	5.12820319074768e-134	480.982405280737			0	81	183	11	0	150	48	
OTU_9	af529109.1 trichloroethene_contaminated site clone ftl254 proteobacterium  ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__oxalobacteraceae;g__massilia;s__massilia timonae;superkingdom__bacteria	100	6.27335338793844e-133	477.375667678515			0	2	6	30	314	3	0	
OTU_10	uncultured sphingomonas sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__sphingomonadales;f__sphingomonadaceae;g__sphingomonas;s__sphingomonas spp.;superkingdom__bacteria	99.6309963099631	4.20948551855597e-135	484.589142882959			23	126	88	57	168	36	13	
OTU_11	uncultured steroidobacter sp. ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__xanthomonadales;f__sinobacteraceae;g__steroidobacter;s__steroidobacter spp.;superkingdom__bacteria	99.2619926199262	5.12820319074768e-134	480.982405280737			71	45	64	0	0	145	139	
OTU_12	ab537170.1 mycobacterium madagascariense str. jcm 13574  ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__mycobacteriaceae;g__mycobacterium;s__mycobacterium madagascariense;superkingdom__bacteria;subclass  actinobacteridae;suborder__corynebacterineae	99.2619926199262	5.12820319074768e-134	480.982405280737			70	39	21	25	3	196	5	
