otu name	Taxonomy	Percent Homology	evalue	bitscore	homology extract gibbsfree_otu/gibbsfree_homolog	total length gibbsfree_otu/otu_lenth/gibbsfree_homolog/homolog_length	SoilDNA1	SoilDNA2	SoilDNA3	SoilDNA4
OTU_1	crenotalea thermophila ;k__bacteria;p__bacteroidetes;c__sphingobacteriia;o__sphingobacteriales;f__chitinophagaceae;g__crenotalea;s__crenotalea thermophila;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	98.4031936127745	0	868.707			1516	3	5	2
OTU_2	flavobacterium sp. as3.26 ;k__bacteria;p__bacteroidetes;c__flavobacteriia;o__flavobacteriales;f__flavobacteriaceae;g__flavobacterium;s__flavobacterium sp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	96.7117988394584	0	857.886			478	0	3	3
OTU_3	malawimonas jakobiformis ;k__eukaryota;p__eukaryota;c__eukaryota;o__eukaryota;f__malawimonadidae;g__malawimonas;s__malawimonas jakobiformis;superkingdom__eukaryota	71.6190476190476	5.88327e-67	259.168			360	2	3	3
OTU_4	uncultured kouleothrix sp. ;k__bacteria;p__chloroflexi;c__chloroflexi;o__chloroflexi;f__chloroflexi;g__kouleothrix;s__kouleothrix spp.;superkingdom__bacteria	88.4297520661157	5.31677e-175	618.038			203	1	1	1
OTU_5	uncultured acidobacterium sp. ;k__bacteria;p__acidobacteria;c__acidobacteriia;o__acidobacteriales;f__acidobacteriaceae;g__acidobacterium;s__acidobacterium spp.;superkingdom__bacteria;superphylum__fibrobacteres/acidobacteria group	94.589552238806	0	836.246			6	3	405	4
OTU_6	u49401.1 mycobacterium hassiacum  ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__mycobacteriaceae;g__mycobacterium;s__mycobacterium hassiacum;superkingdom__bacteria;subclass  actinobacteridae;suborder__corynebacterineae	99.3827160493827	0	863.297			381	2	0	8
OTU_7	uncultured flavobacterium sp. ;k__bacteria;p__bacteroidetes;c__flavobacteriia;o__flavobacteriales;f__flavobacteriaceae;g__flavobacterium;s__flavobacterium spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	99.2217898832685	0	910.184			293	0	3	1
OTU_8	uncultured sphingobacterium sp. ;k__bacteria;p__bacteroidetes;c__sphingobacteriia;o__sphingobacteriales;f__sphingobacteriaceae;g__sphingobacterium;s__sphingobacterium spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	89.2514395393474	0	681.156			530	2	0	1
OTU_9	uncultured acidobacterium sp. ;k__bacteria;p__acidobacteria;c__acidobacteriia;o__acidobacteriales;f__acidobacteriaceae;g__acidobacterium;s__acidobacterium spp.;superkingdom__bacteria;superphylum__fibrobacteres/acidobacteria group	91.304347826087	0	708.207			378	1	3	1
OTU_10	uncultured bordetella sp. ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__alcaligenaceae;g__bordetella;s__bordetella spp.;superkingdom__bacteria	98.2791586998088	0	902.971			262	2	1	2
