otu name	Taxonomy	Percent Homology	evalue	bitscore	homology extract gibbsfree_otu/gibbsfree_homolog	total length gibbsfree_otu/otu_lenth/gibbsfree_homolog/homolog_length	S1A	S1B	S2A	S2B	S3A	S3B	S4A	S4B	S5A	S5B	S6A	S6B
OTU_1	ay281086.1 streptococcus sanguinis str. atcc 49296  ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__streptococcaceae;g__streptococcus;s__streptococcus sanguinis;superkingdom__bacteria	99.63235294	1.21E-135	486.393			331	128	438	214	260	375	20	83	236	236	337	333
OTU_2	eu834270.1 chryseobacterium soldanellicola str. ds52  ;k__bacteria;p__bacteroidetes;c__flavobacteriia;o__flavobacteriales;f__flavobacteriaceae;g__chryseobacterium;s__chryseobacterium soldanellicola;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	99.26739927	4.24E-135	484.589			0	0	1	0	0	0	1592	9756	2	0	0	0
OTU_3	gq103128.1 topographical and temporal human skin microbiome skin volar forearm clone nbw696e04c1  ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__micrococcaceae;g__rothia;s__rothia mucilaginosa;superkingdom__bacteria;subclass  actinobacteridae;suborder__micrococcineae	99.6350365	1.00E-136	489.999			664	587	231	138	511	91	178	47	973	813	268	375
OTU_4	fj596644.1 acinetobacter junii str. p1  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pseudomonadales;f__moraxellaceae;g__acinetobacter;s__acinetobacter junii;superkingdom__bacteria	99.63369963	3.48E-136	488.196			0	0	0	0	0	0	13849	2	0	3	0	0
OTU_5	ay879298.1 granulicatella paradiacens str. 04401102  ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__carnobacteriaceae;g__granulicatella;s__granulicatella paradiacens;superkingdom__bacteria	99.63369963	3.48E-136	488.196			713	383	724	329	2319	229	309	28	166	233	254	422
OTU_6	nz_acik02000004.1 veillonella dispar str. atcc 17748  ;k__bacteria;p__firmicutes;c__negativicutes;o__selenomonadales;f__veillonellaceae;g__veillonella;s__veillonella dispar;superkingdom__bacteria	99.26739927	5.17E-134	480.982			415	463	106	267	931	1576	2	4	51	60	183	312
OTU_7	l14327.1 gemella morbillorum  ;k__bacteria;p__firmicutes;c__bacilli;o__bacillales;f__bacillales;g__gemella;s__gemella morbillorum;superkingdom__bacteria	99.63369963	3.48E-136	488.196			142	519	1292	1017	275	676	2	27	361	488	1186	238
OTU_8	aceo02000016.1 neisseria subflava str. nj9703  ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__neisseriales;f__neisseriaceae;g__neisseria;s__neisseria subflava;superkingdom__bacteria	99.63369963	3.48E-136	488.196			7	5	49	363	28	35	1	44	1706	1430	221	2489
OTU_9	ay323525.1 prevotella melaninogenica str. atcc 25845  ;k__bacteria;p__bacteroidetes;c__bacteroidia;o__bacteroidales;f__prevotellaceae;g__prevotella;s__prevotella melaninogenica;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	99.63369963	3.48E-136	488.196			135	58	18	781	1267	222	0	0	25	124	259	633
OTU_10	uncultured streptococcus sp. ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__streptococcaceae;g__streptococcus;s__streptococcus spp.;superkingdom__bacteria	99.26470588	1.80E-133	479.179			356	215	262	56	618	1489	229	571	52	247	142	141
OTU_11	uncultured streptococcus sp. ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__streptococcaceae;g__streptococcus;s__streptococcus spp.;superkingdom__bacteria	98.54545455	2.70E-131	471.966			123	46	159	97	80	128	4	29	74	91	135	89
OTU_12	aj576247.1 pseudomonas syringae lz4w  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pseudomonadales;f__pseudomonadaceae;g__pseudomonas;s__pseudomonas syringae;superkingdom__bacteria;species group  pseudomonas syringae group	99.63369963	3.48E-136	488.196			0	0	0	0	0	0	0	0	2706	86	0	0
